title,series,rating,category,episode,description,image,video,slug
Captain Tsubasa Episode 39,Captain Tsubasa,7.8,"Action, Sports, Shounen",39,"Nonton Captain Tsubasa Sub Indo - Kapten Tsubasa adalah kisah bergairah dari seorang siswa sekolah dasar yang pikiran dan mimpinya hampir sepenuhnya berkisar pada cinta sepak bola. Tsubasa Oozora, 11 tahun, mulai bermain sepak bola pada usia yang sangat muda, dan meskipun sebagian besar hanya olahraga rekreasi untuk teman-temannya, baginya, itu berkembang menjadi sesuatu yang obsesi.",http://animeisme.com/assets/images/dp/CaptainTsubasa.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpWWjlZYThnZFk2XzZVRmYxV2N0LWVnVHRWNnZMb0hmdlFjOUFhNlpldmFnOXNmZ0Rua0dKMXdvNkthMHhyRFZDWk93ZjFwNWNsN1NnTDkyanVPaExCMDRuU1BOdXprcG8xWnExbGZCY1JIbXF6YmdhRTFWTFNXanlaMTRMWTFUUERkNHc&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,captain-tsubasa-episode-39
Double Decker! Doug & Kirill Episode 13,Double Decker! Doug & Kirill,7.0,Action,13,"Nonton Double Decker! Doug & Kirill Sub Indo - Negara kota Lisvalletta. Dua matahari terbit di atas kota ini, dan orang-orang di sini hidup damai, tetapi dalam bayang-bayang kejahatan dan obat-obatan terlarang merajalela. Di antara mereka adalah obat ""Anthem"" yang berbahaya dan mematikan, yang membuat bayangan gelap di atas kota. Unit Investigasi Kejahatan Khusus SEVEN-O mengkhususkan diri dalam menindak Anthem. Unit ini beroperasi dalam dua tim ""teman"" manusia dalam apa yang disebut ""Sistem Decker Ganda"" untuk mengatasi masalah. Doug Billingham adalah penyidik berpengalaman, dan bergabung dengannya adalah Kirill Vrubel, yang kemampuannya misterius dan tidak dikenal.",https://myanimelist.cdn-dena.com/images/anime/1299/95783.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHdta0tWZkdmd1ZQQU12MTlPX1ZheF9Ed05UNHdRYmV3bzgxb09Zd0RTcEFOYlFVa0hkbmh4MVJEd2hpOXpZOG5tN0hrWmVBTkRvOWtQTnpnUFV4WmFod2U5MUQtRXM0VHpMLUI4TWRJRHg3MVFCTVloZG9mMUoxWjdscG9pU0ZoVmhVUE1Y&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,double-decker!-doug-&-kirill-episode-13
Tensei shitara Slime Datta Ken Episode 13,Tensei shitara Slime Datta Ken,8.0,"Fantasy,Shounen",13,"Nonton Tensei shitara Slime Datta Ken Sub Indo - ""Rimuru Tempest"" adalah nama baru dari lendir di dunia fantasi yang diambil oleh Satou Mikami yang berusia 37 tahun, setelah ia dibunuh oleh seorang perampok yang lewat. Bebas dari kehidupan sehari-hari yang biasa dan basi, petualangannya yang segar di dunia fantasi sebagai monster lendir dengan kemampuan unik dimulai.",https://myanimelist.cdn-dena.com/images/anime/1394/93898.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHhkLUJzOVRTcXVDMkdnQWN5MFNLcGFkdTFCUWc5UHc5VUxaV0xkeTNoWEZYaWYxTDMzMU0tZzFNUG0wV2F4cjY3akxfQkphbkR6TjNaOFJVQlZXQVc1cDRYRUVHeTl0TkFjY05wVTM2R21MVE1jR0gxT0FBQU1VNjByM3FkdXVSSEFheW8&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,tensei-shitara-slime-datta-ken-episode-13
Tsurune: Kazemai Koukou Kyuudoubu Episode 10,Tsurune: Kazemai Koukou Kyuudoubu,7.3,"Drama,School,Sports",10,"Nonton Tsurune: Kazemai Koukou Kyuudoubu Sub Indo - Ceritanya mengikuti Minato Narumiya. Minato bermain memanah Jepang di sekolah menengah, tetapi setelah insiden tertentu, dia lari dari olahraga. Di sekolah menengah, Minato bertemu teman baru, dan bersama-sama sebagai bagian dari klub panahan sekolah mereka, mereka bertujuan untuk memenangkan turnamen prefektur.",https://myanimelist.cdn-dena.com/images/anime/1360/93571.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHg4QzMxQzZ0SHZWd08yRHlpQU1DTWplbmhLSnZIZFhlWElscUJreGt3QW1Ddk1GYWZjc3pKekFPSV9KdEZYcE1wV1V2b0tDZHAzbkszemFLd3Z2OHYwSXpRRDczd0VSWTRhUms5blYxWFVpSzcwc2lvSy1ZQjRMRFI0eWY2VWxyTmo0NU0&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,tsurune:-kazemai-koukou-kyuudoubu-episode-10
Anima Yell! Episode 12,Anima Yell!,6.7,"Comedy,School,Sports",12,"Nonton Anima Yell! Sub Indo - Kohane Hatoya, wanita muda yang suka membantu orang lain. Setelah dia pindah dari sekolah menengah ke sekolah menengah, dia menjadi terpesona dengan cheerleader, dan dia memulai klub pemandu sorak di sekolah menengahnya. Bergabung dengan Kohane dalam kegiatan pemandu soraknya adalah teman masa kecil Hizume dan Kohane yang masih hidup, Uki.",https://myanimelist.cdn-dena.com/images/anime/1051/93862.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHk0Q2JHLV9LTVFWeGdRb2JabUNGeG5nb0hsM2gtZTNQZGM2M1JTX1N4UjdFTmhQN0ZTU3hGQXJScFc4bjg2cUNYX1dqVmdxaFF2Y2dSV1Q1bFNFT3ZqMHNuSjZ6UkphR0dmZnpvZGlhTmRJeVJhdWpSTkhyb0lBTGFGblNIQW9UMXRaczQ&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,anima-yell!-episode-12
Uchi no Maid ga Uzasugiru! Episode 12,Uchi no Maid ga Uzasugiru!,7.5,"Comedy,ShoujoAi,SliceofLife",12,"Nonton Uchi no Maid ga Uzasugiru! Sub Indo - Setelah kehilangan ibunya di usia muda, Misha Takanashi, anak kelas dua dengan darah Rusia, sekarang tinggal bersama ayah Jepangnya. Tsubame Kamoi, sebelumnya adalah perwira Pasukan Bela Diri, datang ke rumah tangga Takanashi sebagai pengurus rumah tangga. Ini adalah komedi rumah di mana Kamoi, seorang lolicon hardcore, berusaha mendekati Misha saat ia mencoba melawannya.",https://myanimelist.cdn-dena.com/images/anime/1786/95330.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHp0M0l3c25fcGhzbldVRTlkZm5IOWFOVzlxWWJEQjdnX0dDUUEtZkVhcG9wZi00YlNLTkM1Q3FXXzh1c0RabEF0NDNTUFJiT0E3T3dHb00yWEI4RVN4cTFfZGVFcktUTGlRTVRPMDBNZlBhUV8teVZsaWFJWHVSX2dLVVlzTnFiUEJYaEVl&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,uchi-no-maid-ga-uzasugiru!-episode-12
Golden Kamuy S2 Episode 12,Golden Kamuy S2,7.8,"Action,Adventure,Historical,Seinen",12,Nonton Golden Kamuy 2nd Season Sub Indo - Musim Kedua dari Golden Kamuy.,https://myanimelist.cdn-dena.com/images/anime/1180/95018.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHhNWVZCT2RpUDZDakNzd3NsLUJpOVNyYjZfUWhPX1RMbGpRLWlaWG1HTlM5Z2RaMVc3ZG44Y1FNNXZhdHk4RXpoNTZBYXllOWNJVXRJRGVuTkkyaVhaMXZLWFpCV25ndmJhTlBic3pQc3NKMk1zMVhsTmhSNWs5RDNMX0FBV2p3Y1FBc1U&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,golden-kamuy-s2-episode-12
title,series,rating,category,episode,description,image,video,slug
Captain Tsubasa Episode 39,Captain Tsubasa,7.8,"Action, Sports, Shounen",39,"Nonton Captain Tsubasa Sub Indo - Kapten Tsubasa adalah kisah bergairah dari seorang siswa sekolah dasar yang pikiran dan mimpinya hampir sepenuhnya berkisar pada cinta sepak bola. Tsubasa Oozora, 11 tahun, mulai bermain sepak bola pada usia yang sangat muda, dan meskipun sebagian besar hanya olahraga rekreasi untuk teman-temannya, baginya, itu berkembang menjadi sesuatu yang obsesi.",http://animeisme.com/assets/images/dp/CaptainTsubasa.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpWWjlZYThnZFk2XzZVRmYxV2N0LWVnVHRWNnZMb0hmdlFjOUFhNlpldmFnOXNmZ0Rua0dKMXdvNkthMHhyRFZDWk93ZjFwNWNsN1NnTDkyanVPaExCMDRuU1BOdXprcG8xWnExbGZCY1JIbXF6YmdhRTFWTFNXanlaMTRMWTFUUERkNHc&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,captain-tsubasa-episode-39
Golden Kamuy S2 Episode 12,Golden Kamuy S2,7.8,"Action,Adventure,Historical,Seinen",12,Nonton Golden Kamuy 2nd Season Sub Indo - Musim Kedua dari Golden Kamuy.,https://myanimelist.cdn-dena.com/images/anime/1180/95018.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHhNWVZCT2RpUDZDakNzd3NsLUJpOVNyYjZfUWhPX1RMbGpRLWlaWG1HTlM5Z2RaMVc3ZG44Y1FNNXZhdHk4RXpoNTZBYXllOWNJVXRJRGVuTkkyaVhaMXZLWFpCV25ndmJhTlBic3pQc3NKMk1zMVhsTmhSNWs5RDNMX0FBV2p3Y1FBc1U&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,golden-kamuy-s2-episode-12
